DATETIME,ADDRESS,BALANCE,DECIMALS,NAME
2022-02-16 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2749510.75283056,18,Staked Aave
2022-02-15 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2717195.84086801,18,Staked Aave
2022-02-14 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2830680.95110075,18,Staked Aave
2022-02-13 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2829670.48057157,18,Staked Aave
2022-02-12 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2828977.1376735,18,Staked Aave
2022-02-11 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2830031.88586264,18,Staked Aave
2022-02-10 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2826212.96314451,18,Staked Aave
2022-02-09 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2814677.30517225,18,Staked Aave
2022-02-08 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2800518.98865787,18,Staked Aave
2022-02-07 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2798456.18016981,18,Staked Aave
2022-02-06 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2797592.74918773,18,Staked Aave
2022-02-05 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2793109.74319863,18,Staked Aave
2022-02-04 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2773541.47939377,18,Staked Aave
2022-02-03 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2771829.5607702,18,Staked Aave
2022-02-02 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2773289.64942277,18,Staked Aave
2022-02-01 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2921002.37629641,18,Staked Aave
2022-01-31 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3039588.25384694,18,Staked Aave
2022-01-30 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3037143.07724799,18,Staked Aave
2022-01-29 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3035262.90085768,18,Staked Aave
2022-01-28 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3032985.24069298,18,Staked Aave
2022-01-27 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3012499.25603114,18,Staked Aave
2022-01-26 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3008173.89209171,18,Staked Aave
2022-01-25 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3009010.97134404,18,Staked Aave
2022-01-24 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3006457.53113923,18,Staked Aave
2022-01-23 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3003794.26420287,18,Staked Aave
2022-01-22 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2999988.08041868,18,Staked Aave
2022-01-21 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2999635.46428695,18,Staked Aave
2022-01-20 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3000010.69515665,18,Staked Aave
2022-01-19 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3002028.60915719,18,Staked Aave
2022-01-18 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2994723.32369703,18,Staked Aave
2022-01-17 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2984701.52510911,18,Staked Aave
2022-01-16 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2985865.58827325,18,Staked Aave
2022-01-15 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3000003.93191948,18,Staked Aave
2022-01-14 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2997569.1849246,18,Staked Aave
2022-01-13 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2996437.56568555,18,Staked Aave
2022-01-12 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2997515.76707365,18,Staked Aave
